name,symptoms
Заболевания уха,"
 
  
   боль и зуд в наружном ухе
  
  
   потеря слуха
  
  
   выделение жидкости из уха
  
  
   боль в ушах
  
  
   покраснение и опухание наружного уха
  
  
   температура тела выше 38.3⁰С.
  
 

"
Ларингит,"

  При остром ларингите часто (но необязательно) наблюдается ухудшение общего состояния, нередко повышается температура. Может чувствоваться боль при глотании. Иногда наблюдается затруднение дыхания (которое объясняется сужением голосовой щели из-за ее спазма и отека. При остром ларингите обычно бывает ощущение сухости, першения, царапанья в горле; кашель вначале сухой, а в дальнейшем сопровождается откашливанием мокроты; голос становится хриплым, грубым или совсем беззвучным.


"
Нейросенсорная тугоухость,
Ринопластика,
Средний отит,"
 
  
   Острая стреляющая боль в ухе, на которую часто указывает длительный плач ребенка, при этом ребенок трет ухо, ткани около уха напряжены.
  
  
   Небольшое кровотечение или истечение гноя из уха. Эти симптомы наиболее вероятны при разрыве барабанной перепонки, что приводит к уменьшению давления жидкости.
  
  
   Наблюдается повышение температуры тела, ребенок капризничает, особенно при сопутствующей простуде.
  
  
   Тошнота и рвота, особенно у маленьких детей.
  
  
   Временная потеря слуха.
  
  
   Чувство переполнения в ухе.
  
 

"
Фарингит,"
 
  
   боль в горле;
  
  
   першение в горле;
  
  
   сухой кашель;
  
  
   повышение температуры тела;
  
  
   увеличение шейных лимфатических узлов.
  
 



  При осмотре горла (фарингоскопии) отмечается покраснение стенок глотки, слизистая оболочка кажется рыхлой, могут быть увеличены небные миндалины.




  Симптомы острого фарингита при ОРВИ и других инфекционных болезнях, как правило, дополняются симптомами основной болезни: высокая температура, ринит, бронхит, кашель, признаки сильной интоксикации организма, боли в мышцах, сыпь и пр.




  При хроническом фарингите симптомы болезни менее выражены. Больной жалуется на чувство сухости или першение в горле, часто наблюдается сухой мучительный кашель.


"
Храп,"

  Резкий, громкий звук, издаваемый во время сна.


"
Астигматизм,
Атрофия зрительного нерва,"

  Заболевание характеризуется снижением зрения. Оно может развиваться постепенно или быстро, внезапно – это зависит от того, какой отрез нерва поражен. В зависимости от степени поражения зрительного нерва, снижение зрения может быть выражено в разной степени:



 
  
   равномерное снижение: человек отмечает, что он стал хуже видеть предметы и различать цвета;
  
  
   выпадение боковых полей зрения: то, что находится прямо перед ним, больной видит хорошо, а предметы, находящиеся сбоку – значительно хуже или не видит совсем;
  
  
   выпадение пятен: перед глазом есть пятно (может быть разных размеров), в пределах которого больной ничего не видит, а всё остальное видит нормально.
  
 



  В тяжелых случаях зрение утрачивается полностью.


"
Блефарит,"
 
  
   зуд в глазах;
  
  
   ощущение тяжести век;
  
  
   быстрая утомляемость глаз;
  
  
   повышенная чувствительность к яркому свету;
  
  
   красные и/или отечные края век;
  
  
   чешуйки и перхоть на коже век;
  
  
   выпадение и неправильный рост ресниц.
  
 

"
Глаукома,"

  К сожалению, есть опасные формы глаукомы, которые протекают практически незаметно и безболезненно. Процесс потери зрения может быть длительным и продолжаться несколько лет. И пациент замечает, что со зрением что-то не так, когда он уже практически ослеп. Такую форму на ранних стадиях можно диагностировать только при офтальмологическом обследовании.




  Другие формы обычно сопровождаются болью и явными зрительными нарушениями, такими, как периодические затуманивания зрения, появление ореолов вокруг источников света, болью в надбровной и височной области. Именно при этой форме заболевания возможен острый приступ  — резкое повышение давления в глазу. Приступ может сопровождаться тошнотой и общим ухудшением состояния. Помощь в таком случае должна быть оказана в ближайшие сутки, иначе может наступить слепота.


"
Дальнозоркость,
"Дальнозоркость, близорукость, астигматизм",
Дистрофические заболевания сетчатки,
Катаракта,"

  В зависимости от степени поражения симптомы катаракты включают:



 
  
   двоение в глазу, если противоположный глаз закрыт;
  
  
   расплывчатость, туманность изображения, не поддающаяся очковой коррекции;
  
  
   появление близорукости;
  
  
   ощущение бликов, вспышек, особенно в ночное время;
  
  
   чувствительность к свету, особенно в ночное время;
  
  
   появление ореолов вокруг источников света;
  
  
   ухудшение цветового зрения.
  
 

"
Конъюнктивит,"

  Вирусный конъюнктивит:



 
  
   обильное слезотечение;
  
  
   раздражение и покраснение глаза, его хочется постоянно тереть;
  
  
   поражается в начале один глаз, затем инфекция переходит на другой.
  
 



  
   Бактериальный конъюнктивит:
  



 
  
   гнойное отделяемое, вызывающее слипание век, утром человек просыпается и ему сложно открыть глаза;
  
  
   отек конъюнктивы и века, слезотечение;
  
  
   раздражение и покраснение глаза;
  
  
   обычно поражается один глаз, однако при несоблюдении правил гигиены инфекция может легко перейти на другой.
  
 



  Аллергический конъюнктивит:



 
  
   обычно поражаются оба глаза;
  
  
   выраженный зуд;
  
  
   слезотечение;
  
  
   отек век.
  
 

"
Косоглазие,"

  Различают два вида косоглазия — паралитическое и содружественное. Они имеют разные проявления.




  Паралитическое косоглазие возникает в результате паралича одной из мышц, участвующих в движении глаза. В результате одно из глазных яблок отклоняется от нормальной оси. Оно не может поворачиваться в сторону пораженной мышцы. Больной утрачивает способность нормально воспринимать изображение двумя глазами. Его беспокоят головные боли, головокружение, он не может правильно определить, где находится тот или иной предмет. Для того чтобы видеть более-менее нормально, ему приходится наклонять голову.




  При содружественном косоглазии двоение в глазах отсутствует. Оба глаза могут двигаться во всех направлениях. Когда человек пытается сфокусировать взгляд на предмете, у него отклоняются в сторону оба глаза. Эта форма косоглазия чаще всего бывает обусловлена близорукостью, дальнозоркостью, астигматизмом, амблиопией и другими нарушениями зрения.




  Иногда косоглазие вообще никак себя не проявляет, а выявляется только во время осмотра окулиста.


"
Нарушения зрения у детей,"
 
  
   У ребенка один глаз блуждает и смотрит в другом направлении, нежели второй глаз (нужно наблюдать внимательно, так как данный симптом может быть слабовыраженным). Надо насторожиться, даже если это проявляется только в моменты переутомления или стресса;
  
  
   Чтобы рассмотреть какой-либо предмет, ребенок, себе в помощь, крутит головой; голова склоняется в одну сторону, или одно плечо заметно выше другого;
  
  
   Косоглазие или прикрытие одного глаза, избыточное моргание, прищуривание;
  
  
   Нарушение зрительно-моторной координации;
  
  
   Проблемы, связанные с перемещением в пространстве ребенок ударяется о стоящие предметы, роняет вещи на пол;
  
  
   Ребенок держит книгу или другой предмет слишком близко к глазам;
  
  
   Ребенок закрывает один глаз или прикрывает его рукой;
  
  
   Ребенок часто теряется в пространстве и быстро устает;
  
  
   Ребенок трет глаза в процессе чтения, после непродолжительного чтения; ребенок ведет пальцем по строчке при чтении; ребенок способен читать только в течение непродолжительного времени;
  
  
   Ребенок жалуется на головные боли и переутомление глаз;
  
  
   Тошнота и головокружение при зрительной нагрузке;
  
  
   Укачивание;
  
  
   Двоение в глазах.
  
 

"
"Нарушения зрения, связанные с неправильным преломлением света в глазе: миопия, дальнозоркость, астигматизм",
Отслойка сетчатки,
Памятка пользователям контактных линз,
Травмы глаза,
Хориоретинит,"

  Если заболевание протекает в течение 3 месяцев, а затем проходит, то в данном случае имеет место острая форма хориоретинита. Если заболевание продолжается 3 месяца и более — это хроническая форма.




  Симптомы хориоретинита зависят от того, в каком месте возникло воспаление. Периферическая часть сетчатки содержит мало чувствительных клеток — палочек и колбочек, — и практически не участвует в зрении. Поэтому если воспаление произошло здесь, больного не беспокоят никакие симптомы. Хориоретинит выявляется случайно во время профилактического осмотра врача-окулиста.




  Центральная часть сетчатки наиболее богата чувствительными элементами. Если поражение происходит здесь, то симптомы всегда ярко выражены:



 
  
   больной жалуется, что у него перед глазами как будто находится пелена, туман: очертания предметов кажутся нечеткими, расплывчатыми;
  
  
   перед глазами возникают темные пятна, в пределах которых больной вообще ничего не видит;
  
  
   периодически перед глазами появляются вспышки света, сверкающие пятна, «молнии», «мушки»;
  
  
   предметы воспринимаются искаженными: их очертания и форма изменены;
  
  
   в сумерках зрение резко ухудшается (развивается «куриная слепота»): это сильно затрудняет ориентацию больного в пространстве.
  
 

"
Ячмень на глазу,"

  На пораженном веке появляется припухлость, кожа краснеет. Больной ощущает зуд, дискомфорт, боль. Ощупывание века приводит к значительному усилению боли. Конъюнктива глаза краснеет, могут появляться засохшие корочки.




  Примерно через 2 суток (от 1 до 4) в области припухлости сквозь кожу начинает проглядывать гнойничок. Он выглядит в качестве выступающей головки желтого цвета. Вскоре он прорывается, и гной отходит наружу. После этого боль и другие симптомы стихают, наступает выздоровление.




  Иногда ячмень глаза протекает в тяжелой форме: ухудшается общее самочувствие больного, повышается температура тела, увеличиваются в размерах и становятся болезненными лимфатические узлы, расположенные под кожей на шее, в подзатылочной области, над и под ключицами.


"
Боли в мышцах,"
 
  
   боль и ломота в мышцах (рук, спины, ног, шеи и плеч);
  
  
   сильная боль, напряженность, ограниченная подвижность.
  
 

"
Гематомы подкожные,"

  Рекомендуется обратиться к врачу при большом количестве синяков, при появлении синяков на фоне приема ацетилсалициловой кислоты, антикоагулянтов или других лекарственных средств, при постоянном возникновении синяков даже при самых незначительных ушибах, если синяк сопровождается сильной болью и опухолью.


"
Диарея путешественников,"

  Характерные признаки диареи путешественников включают: жидкий и частый стул (понос или диарея), тошнота, боли в животе и судороги. Диарея путешественников обычно длится несколько дней. Для здоровых людей диарея крайне редко может представлять угрозу для жизни.


"
Инородные тела,"

  Инородное тело в глазах: опухание, краснота, выделение крови из поверхностных кровяных сосудов, чувствительность к свету, неожиданные проблемы со зрением.




  Инородное тело в ушах и в носу: боль, потеря слуха, ощущение застрявшего в ухе предмета, кровяные выделения с неприятным запахом из ноздрей.




  Инородное тело в дыхательных путях и желудке: затрудненное глотание, слюноотделение, нарушение дыхания.




  Инородное тело в прямой кишке: резкая острая боль при дефекации.




  Другие симптомы варьируются в зависимости от размера предмета, его положения, времени нахождения в организме.


"
Кровотечения,"

  При открытых кровотечениях кровь вытекает из открытой раны, возможно развитие травматического шока; у больного может отмечаться холодный липкий пот, головокружение после травмы; очень частый пульс (учащенный сердечный ритм); одышка; спутанность сознания, снижение внимания; слабость.




  При внутреннем кровотечении может отмечаться боль в животе, вздутие живота; кровь в кале (черная, темно-бордовая или ярко красная) или очень темный кал; кровь в моче (красная, розовая, чайного цвета); вагинальное кровотечение (сильнее, чем обычно или после менопаузы); кровь в рвотной массе (выглядит ярко красной или коричневой, как кофе).


"
Натоптыши и застарелые мозоли,"

  Мозоль представляет собой область с толстыми, плотными слоями омертвевшей кожи. В некоторых случаях может вызывать болезненные ощущения. Обычно боль возникает при непосредственном давлении на мозоль. В таких случаях можно попробовать справиться с проблемой самостоятельно.




  При постоянно повторяющихся или не проходящих в результате самолечения мозолях следует обратиться к врачу.


"
Обморожение,
Ожоги,"

  Прикосновение к раскаленным поверхностям и предметам, а также контакт с некоторыми опасными химическими веществами, горячим паром, кипящими жидкостями и электрическим током.


"
Отравления,"

  Отравление может сопровождаться лихорадкой, ознобом, потерей аппетита, головной болью, раздражительностью, слабостью, сонливостью, головокружением. Требуется немедленная госпитализация, если возникают также боль при глотании или повышенное слюноотделение, боль в животе, рвота, диарея, тошнота; поражения кожи или химические ожоги, оцепенение, судороги, потеря сознания, двоение в глазах, затуманенное зрение, судорожные припадки.


"
Переломы,"

  Если после падения вы отмечаете видимую деформацию кости, сильную боль в области кости, стреляющая боль, ограничение движения или сильную боль при движении, то необходимо немедленно обратиться за медицинской помощью.


"
Потеря сознания,"

  Рекомендуется обратиться к врачу, если у вас часто возникают обмороки, или головокружение, слабость, тошнота, бледность кожных покровов. К больному, потерявшему сознание на некоторое время, следует вызвать медицинскую помощь.


"
Растяжения мышц,"

  Растяжение мышцы — мышца при таких травмах слишком растянута, некоторые ткани могут быть порваны. В поврежденном месте могут быть кровотечение и опухоль. По мере того как растяжение проходит, могут появиться небольшие шрамы, поэтому после травмы мышца может быть не такой эластичной и крепкой. Если сустав был слишком напряжен, могут порваться ткани связок и других поддерживающих сустав элементов. В таком случае сустав опухает, становится очень чувствительным и болезненным.


"
Растяжения связок,"
 
  
   боль в суставе;
  
  
   припухлость и покраснение;
  
  
   ограничение или невозможность движения из-за сильной боли;
  
  
   в тяжёлых случаях деформация сустава.
  
 

"
Синдром гипервентиляции,"

  При возникновении подобных симптомов следует срочно обратиться к врачу: учащенное дыхание, затрудненное дыхание, давящее чувство, стесненность, боль в области груди, беспокойство, сухость во рту, ухудшение зрения, покалывание в пальцах рук и ног, боль и судороги в руках и пальцах, потеря сознания.


"
Тепловой удар,"

  Возможно возникновение головной боли, головокружения, вялости и чувства усталости, тревожного возбуждения, дезориентации или спутанности сознания. В тяжелых случаях судороги, потеря сознания, галлюцинации. Возможен учащенный пульс, высокая температура тела, кожа становится сухой, горячей.


"
Травмы головы,"

  Если после травмы у больного просто небольшой ушиб или гематома, причиняющие небольшой дискомфорт, с проблемой можно справиться самостоятельно.




  Следует обратиться за медицинской помощью, когда кровотечение из раны продолжается более 10 минут, при сильной головной боли и боли в шее, при усиливающейся головной боли и тошноте. Следует немедленно вызвать скорую помощь, если кровь или прозрачная жидкость текут из носа и ушей, при температуре тела выше 38 градусов, при повреждении шеи и спины, при судорогах, спутанности сознания, нарушениях способности ходить, нефокусирующимся взгляде, затрудненной речи, затуманенном зрении или при зрачках разного размера, затрудненном дыхании, потере сознания.


"
Шок,"

  Симптомы шока могут включать чувство страха или возбуждения, синюшные губы и ногти, боль в груди, дезориентацию, холодную влажную кожу, сокращение или прекращение мочеиспускания, головокружение, обморочное состояние, низкое артериальное давление, бледность, избыточное потоотделение, учащенный пульс, поверхностное дыхание, беспамятство, слабость.


"
Экстремальный туризм,
Электрический шок,"

  При любом подозрении на электротравму рекомендуется обратиться к врачу. При наличии ожогов, попадании молнии, подозрении на сильный удар током или при тяжелом состоянии пострадавшего следует немедленно вызвать скорую помощь.


"
Абсцесс прямой кишки,"

  Заболевание, как правило, начинается остро. Вслед за коротким продромальным периодом с недомоганием, слабостью, головной болью появляется нарастающая боль в прямой кишке, промежности или в тазу, сопровождающаяся повышением температуры тела и ознобом. Степень выраженности симптомов острого парапроктита зависит от локализации воспалительного процесса, распространенности его, характера возбудителя, реактивности организма. При локализации гнойника в подкожной клетчатке клинические проявления выражены более ярко и определенно: болезненный инфильтрат в области заднего прохода, гиперемия кожи, повышение температуры тела вынуждают, как правило, обратиться к врачу в первые дни после начала заболевания.




  Ишиоректальный абсцесс в первые дни болезни проявляется общими симптомами: познабливанием, плохим самочувствием, тупой болью в тазу и прямой кишке, усиливающимися при дефекации; местные изменения асимметрия ягодиц, инфильтрация, гиперемия кожи появляются в поздней стадии (5-6-й день).




  Наиболее тяжело протекает пельвиоректальный парапроктит, при котором гнойник располагается глубоко в тазу.




  В первые дни болезни преобладают общие симптомы воспаления: лихорадка, ознобы, головная боль, боль в суставах, в тазу, внизу живота. Часто пациент обращается к хирургу, урологу, женщины к гинекологу. Нередко их лечат по поводу острого респираторного заболевания, гриппа. Продолжительность этого периода иногда достигает 10-12 дней. В дальнейшем отмечаются усиление боли в тазу и прямой кишке, задержка стула, мочи и выраженная интоксикация.


"
Анальная трещина,
Геморрой,"
 
  
   выделение крови из прямой кишки после дефекации;
  
  
   прожилки крови в кале;
  
  
   выпадение геморроидальных узлов из анального канала;
  
  
   боль и раздражение в области ануса.
  
 

"
Полипы прямой кишки,
Закаливание,
Курение,
Питание спортсменов,
Примерная программа профилактических осмотров для женщин,
Примерная программа профилактических осмотров для мужчин,
Профилактика спортивных травм,
Алкоголизм,"

  Злоупотребление спиртным влияет на способность человека принимать повседневные решения, делает его безответственным. Алкоголики могут не ходить на работу или не посещать занятий, у них возникают сложности в общении. На конечных стадиях алкоголизма они оказываются неспособными позаботиться даже о себе.

  Первые признаки алкоголизма можно заподозрить, если человек:



 
  
   употребляет спиртное с целью забыть обо всех проблемах,
  
  
   выпивает по утрам или в одиночку,
  
  
   в состоянии опьянения может нанести вред себе или окружающим,
  
  
   нуждается во все большем и большем количестве спиртного,
  
  
   теряет контроль над собой.
  
 



  Если у вас или ваших близких имеются подобные проблемы, постарайтесь обратиться к врачу.


"
Аутизм,"

  Обратитесь к врачу, если вы стали замечать у своего ребенка следующие особенности:



 
  
   ребенок не отзывается, когда его зовут по имени;
  
  
   не может объяснить, чего он хочет;
  
  
   испытывает задержку темпов речевого развития;
  
  
   не следует никаким указаниям взрослых;
  
  
   периодически появляются нарушения слуха;
  
  
   не понимает, как играть с той или иной игрушкой;
  
  
   плохо устанавливает визуальный контакт;
  
  
   не улыбается другим;
  
  
   не лепечет и не гулит в возрасте 12 месяцев;
  
  
   не делает указательных жестов, не машет рукой, не делает хватательных или других движений в возрасте 12 месяцев;
  
  
   не говорит отдельные слова в 16 месяцев;
  
  
   не произносит фразы из двух слов в 24 месяца;
  
  
   наблюдается утрата речевых или социальных навыков в любом возрасте.
  
 



  Часто у родителей таких детей создается ощущение, что ребенок живет в своем собственном отдельном мире.


"
Булимия,"
 
  
   разрушение зубной эмали и проблемы с деснами, вызванные многократным воздействием кислоты желудочного сока при рвоте;
  
  
   обезвоживание;
  
  
   царапины на одном или нескольких пальцах, которые больной помещает в горло при попытке вызвать рвоту;
  
  
   воспаление пищевода и околоушной слюнной железы в связи с частой рвотой;
  
  
   дисбаланс электролитов (минералов и солей), который может обуславливать судороги и подергивания мышц;
  
  
   различные расстройства кишечника (из-за избыточного употребления слабительных средств);
  
  
   симптомы нарушений функции печени и почек;
  
  
   внутренние кровотечения в некоторых случаях;
  
  
   нерегулярный менструальный цикл;
  
  
   заболевания сердца, обусловленные метаболическими сдвигами при патологическом пищевом поведении.
  
 

"
Депрессия,"

  Эмоциональные проявления депрессии очень разнообразны. К ним относятся чувство тревоги, отчаяния, снижение самооценки. Человек, страдающий депрессией, испытывает постоянную усталость, печаль. Он перестает интересоваться тем, что раньше приносило ему радость, становится равнодушным к окружающим.




  Меняется и поведение больных. Депрессию можно заподозрить, если человек утрачивает способность к целенаправленным действиям, не может сконцентрировать внимание. Общительный и жизнерадостный по своей природе человек, впадая в депрессию, начинает избегать контактов с друзьями, близкими, «запирает себя в четырех стенах». Нередко возникает привязанность к алкоголю, наркотическим препаратам.




  Больным депрессией также свойственны некоторые особенности мышления. Мысли о себе становятся негативными, человек фиксируется на отрицательных сторонах своей жизни, считает себя ненужным, никчемным, обременительным для родственников. Больному тяжело самостоятельно принимать решения.




  Помимо изменений эмоциональной сферы, для депрессий также характерны физиологические (соматические) проявления. Чаще всего нарушается режим сна и бодрствования, возникает бессонница. Аппетит может исчезнуть полностью или, наоборот, усилиться и приводить к перееданию. Больные жалуются на боли в области сердца, желудка, страдают запорами. Заметно снижается энергетический запас организма, пациенты быстро переутомляются даже при небольших физических и умственных нагрузках. Нередко возникают расстройства сексуальной сферы.


"
Ипохондрия,"

  Больной, страдающий ипохондрией, считает, что он болен какой‐либо патологией, либо может заболеть ей в скором времени. Он уверен, что знает, какое у него заболевание, лучше любого врача. Но его мнение постоянно меняется, периодически он испытывает сомнения.




  Один из наиболее характерных симптомов ипохондрии – «боли» и другие «признаки» заболеваний. Больной их «ощущает», но при обследовании обычно ничего не выявляется. Это еще больше усиливает недоверие по отношению к врачам, заставляет пациента еще больше беспокоиться о своем состоянии.




  Чаще всего при ипохондрии «страдают» сердце, желудок, головной мозг, половые органы. Со временем в них действительно могут развиваться нарушения. Они являются итогом патологической импульсации со стороны головного мозга: это и называется психосоматикой, когда психика человека влияет на работу внутренних органов.




  Известны случаи, когда больные с ипохондрией и другими формами неврозов даже «устраивали» у себя инфаркт миокарда.




  При ипохондрии больной испытывает страх за свое состояние. Могут возникать навязчивые страхи, например, страх смерти или страх инфицирования. В связи с ними больной проводит «защитные ритуалы», которые помогают «избежать» опасности. Например, при страхе заразиться инфекцией это может быть частое мытье рук. Иногда пациенты требуют, чтобы «ритуалы» соблюдали вместе с ними все близкие.




  У многих больных с ипохондрией имеются черты истеричности – им нравится «болеть» и демонстрировать свое плохое самочувствие, быть в центре внимания окружающих.


"
Истерический невроз (диссоциативное расстройство),
Нарушения пищевого поведения,"
 
  Анорексия
 


 
  
   навязчивое желание похудеть, когда человек уже и так сильно потерял в весе;
  
  
   отвращение к пище (потеря аппетита);
  
  
   огромная потеря в весе;
  
  
   иногда при анорексии могут наблюдаться также приступы булимии (человек набрасывается на еду, наедается, а затем вызывает рвоту или принимает слабительное);
  
  
   чрезмерная озабоченность собственным весом. Больные анорексией могут взвешиваться несколько раз в день;
  
  
   раздражительность, особенно в отношении пищи;
  
  
   навязчивая тяга к физическим упражнениям;
  
  
   сухая, бледная или землистого цвета кожа;
  
  
   проблемы с ногтями, выпадение волос;
  
  
   запоры;
  
  
   гипотермия. Температура тела понижается, т.к. в организме совсем не остается жира. На ногах и руках могут начать расти тонкие волоски;
  
  
   у женщин аменорея или нерегулярные менструации.
  
 


 
  
   Булимия
  
 


 
  
   навязчивая боязнь поправиться;
  
  
   иногда излишняя худоба;
  
  
   человек набрасывается на еду, наедается, а затем вызывает рвоту или принимает слабительное. В зависимости от степени тяжести, такие приступы могут происходить раз в неделю или несколько раз в день;
  
  
   постоянное соблюдение различных диет;
  
  
   навязчивая тяга к физическим упражнениям;
  
  
   раздражительность, депрессия вплоть до желания совершить суицид в особенно тяжелых случаях;
  
  
   постоянная боль и жжение в горле из-за избытка кислоты;
  
  
   сухие губы, язык, сухая кожа, увеличенные слюнные железы (признаки обезвоживания);
  
  
   хроническая диарея или запор;
  
  
   нерегулярные менструации у женщин;
  
  
   обезвоживание и дефицит питательных веществ (особенно калия).
  
 

"
